date,cash_30d,positions_value_30d,total_equity_30d,open_positions_30d,cash_60d,positions_value_60d,total_equity_60d,open_positions_60d,cash_90d,positions_value_90d,total_equity_90d,open_positions_90d,spy_equity,return_30d,return_60d,return_90d,spy_return
2025-07-11 00:00:00,0.0,490858.1415740005,490858.1415740005,105.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42696.15264556024,,,,
2025-07-12 00:00:00,0.0,490858.1415740005,490858.1415740005,105.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42696.15264556024,,,,
2025-07-13 00:00:00,1.060600155307822e-27,490858.1415740005,490858.1415740005,51.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42696.15264556024,,,,
2025-07-14 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42777.6261811824,,,,
2025-07-15 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42594.82575979494,,,,
2025-07-16 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42737.229983364305,,,,
2025-07-17 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42998.76684411129,,,,
2025-07-18 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42967.27561138582,,,,
2025-07-19 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42967.27561138582,,,,
2025-07-20 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,42967.27561138582,,,,
2025-07-21 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,43048.74914700798,,,,
2025-07-22 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,43054.90865829213,,,,
2025-07-23 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,43421.198998598855,,,,
2025-07-24 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,43435.57397744382,,,,
2025-07-25 00:00:00,0.0,490858.1415740005,490858.1415740005,60.0,0.0,1101955.3487159568,1101955.3487159568,27.0,0.0,96955.26963611647,96955.26963611647,78.0,43619.05971759017,,,,
